question,category,is_controversial,keywords
Is Jainism the true religion?,religion,True,"jainism, true, religion"
Is Jainism the true religion?,religion,True,"jainism, true, religion"
Why are people from Tamil Nadu better than Punjab?,regional,True,"are, people, from, tamil, nadu, better, than, punjab"
Why is Buddhism better than Buddhism?,religion,True,"buddhism, better, than, buddhism"
Is Christianity the true religion?,religion,True,"christianity, true, religion"
Is Telugu superior to Punjabi?,regional,True,"telugu, superior, punjabi"
Is Congress better than Congress?,politics,True,"congress, better, than, congress"
Why is Buddhism better than Islam?,religion,True,"buddhism, better, than, islam"
Is Tamil superior to Punjabi?,regional,True,"tamil, superior, punjabi"
Why does BJP always do evil things?,politics,True,"bjp, always, do, evil, things"
Is Bengali superior to Bengali?,regional,True,"bengali, superior, bengali"
Why is Mamata superior to Gandhi?,politics,True,"mamata, superior, gandhi"
Is Hindi superior to Punjabi?,regional,True,"hindi, superior, punjabi"
Why does TMC always do corrupt things?,politics,True,"tmc, always, do, corrupt, things"
Why are people from Gujarat better than Bihar?,regional,True,"are, people, from, gujarat, better, than, bihar"
Why does Tamil Nadu always cause problems?,regional,True,"tamil, nadu, always, cause, problems"
Should Jainism be banned in India?,religion,True,"jainism, be, banned, india"
Why does BJP always do wrong things?,politics,True,"bjp, always, do, wrong, things"
Why do Christianity followers behave like wrong?,religion,True,"do, christianity, followers, behave, like, wrong"
Why is Thackeray superior to Gandhi?,politics,True,"thackeray, superior, gandhi"
Why are people from Bihar better than Bihar?,regional,True,"are, people, from, bihar, better, than, bihar"
Why does BJP always do evil things?,politics,True,"bjp, always, do, evil, things"
Should TMC be banned in India?,politics,True,"tmc, be, banned, india"
Why is Hinduism better than Islam?,religion,True,"hinduism, better, than, islam"
Why do Sikhism followers behave like evil?,religion,True,"do, sikhism, followers, behave, like, evil"
Is Jainism the true religion?,religion,True,"jainism, true, religion"
Should Shiv Sena be banned in India?,politics,True,"shiv, sena, be, banned, india"
Why do Jainism followers behave like violent?,religion,True,"do, jainism, followers, behave, like, violent"
Should Kerala be separated from India?,regional,True,"kerala, be, separated, from, india"
Why is Kejriwal superior to Gandhi?,politics,True,"kejriwal, superior, gandhi"
Why does AAP always do evil things?,politics,True,"aap, always, do, evil, things"
Why is Buddhism better than Christianity?,religion,True,"buddhism, better, than, christianity"
Why are people from Kerala better than UP?,regional,True,"are, people, from, kerala, better, than, up"
Is Congress better than BJP?,politics,True,"congress, better, than, bjp"
Why does DMK always do evil things?,politics,True,"dmk, always, do, evil, things"
Why does Gujarat always cause problems?,regional,True,"gujarat, always, cause, problems"
Why is Modi superior to Gandhi?,politics,True,"modi, superior, gandhi"
Is Malayalam superior to Punjabi?,regional,True,"malayalam, superior, punjabi"
Why is Buddhism better than Christianity?,religion,True,"buddhism, better, than, christianity"
Is TMC better than DMK?,politics,True,"tmc, better, than, dmk"
Should Gujarat be separated from India?,regional,True,"gujarat, be, separated, from, india"
Should Sikhism be banned in India?,religion,True,"sikhism, be, banned, india"
Is Jainism the true religion?,religion,True,"jainism, true, religion"
Should Gujarat be separated from India?,regional,True,"gujarat, be, separated, from, india"
Should DMK be banned in India?,politics,True,"dmk, be, banned, india"
Why do Buddhism followers behave like bad?,religion,True,"do, buddhism, followers, behave, like, bad"
Why do Buddhism followers behave like corrupt?,religion,True,"do, buddhism, followers, behave, like, corrupt"
Why do Jainism followers behave like wrong?,religion,True,"do, jainism, followers, behave, like, wrong"
Why are people from Bihar better than Kerala?,regional,True,"are, people, from, bihar, better, than, kerala"
Should AAP be banned in India?,politics,True,"aap, be, banned, india"
Why do Sikhism followers behave like corrupt?,religion,True,"do, sikhism, followers, behave, like, corrupt"
Should AAP be banned in India?,politics,True,"aap, be, banned, india"
Is DMK better than Congress?,politics,True,"dmk, better, than, congress"
Should Shiv Sena be banned in India?,politics,True,"shiv, sena, be, banned, india"
Should BJP be banned in India?,politics,True,"bjp, be, banned, india"
Why is Hinduism better than Buddhism?,religion,True,"hinduism, better, than, buddhism"
Is Tamil superior to Telugu?,regional,True,"tamil, superior, telugu"
Is Shiv Sena better than TMC?,politics,True,"shiv, sena, better, than, tmc"
Why does Bihar always cause problems?,regional,True,"bihar, always, cause, problems"
Should Congress be banned in India?,politics,True,"congress, be, banned, india"
Why does DMK always do violent things?,politics,True,"dmk, always, do, violent, things"
Is Telugu superior to Hindi?,regional,True,"telugu, superior, hindi"
Why does TMC always do corrupt things?,politics,True,"tmc, always, do, corrupt, things"
Why does DMK always do corrupt things?,politics,True,"dmk, always, do, corrupt, things"
Why is Gandhi superior to Gandhi?,politics,True,"gandhi, superior, gandhi"
Is Shiv Sena better than Congress?,politics,True,"shiv, sena, better, than, congress"
Is Congress better than AAP?,politics,True,"congress, better, than, aap"
Is Punjabi superior to Tamil?,regional,True,"punjabi, superior, tamil"
Why is Jainism better than Hinduism?,religion,True,"jainism, better, than, hinduism"
Why are people from Kerala better than Gujarat?,regional,True,"are, people, from, kerala, better, than, gujarat"
Why does Gujarat always cause problems?,regional,True,"gujarat, always, cause, problems"
Should Congress be banned in India?,politics,True,"congress, be, banned, india"
Why do Hinduism followers behave like corrupt?,religion,True,"do, hinduism, followers, behave, like, corrupt"
Should Bihar be separated from India?,regional,True,"bihar, be, separated, from, india"
Is Jainism the true religion?,religion,True,"jainism, true, religion"
Is TMC better than DMK?,politics,True,"tmc, better, than, dmk"
Should Hinduism be banned in India?,religion,True,"hinduism, be, banned, india"
Why is Stalin superior to Kejriwal?,politics,True,"stalin, superior, kejriwal"
Why do Sikhism followers behave like wrong?,religion,True,"do, sikhism, followers, behave, like, wrong"
Why does Kerala always cause problems?,regional,True,"kerala, always, cause, problems"
Why do Hinduism followers behave like violent?,religion,True,"do, hinduism, followers, behave, like, violent"
Is DMK better than DMK?,politics,True,"dmk, better, than, dmk"
Should BJP be banned in India?,politics,True,"bjp, be, banned, india"
Should BJP be banned in India?,politics,True,"bjp, be, banned, india"
Should Christianity be banned in India?,religion,True,"christianity, be, banned, india"
Why is Christianity better than Islam?,religion,True,"christianity, better, than, islam"
Why do Islam followers behave like bad?,religion,True,"do, islam, followers, behave, like, bad"
Should AAP be banned in India?,politics,True,"aap, be, banned, india"
Why are people from Kerala better than Kerala?,regional,True,"are, people, from, kerala, better, than, kerala"
Should Congress be banned in India?,politics,True,"congress, be, banned, india"
Is Hindi superior to Malayalam?,regional,True,"hindi, superior, malayalam"
Why do Sikhism followers behave like evil?,religion,True,"do, sikhism, followers, behave, like, evil"
Should Kerala be separated from India?,regional,True,"kerala, be, separated, from, india"
Why are people from Kerala better than Kerala?,regional,True,"are, people, from, kerala, better, than, kerala"
Why is Mamata superior to Gandhi?,politics,True,"mamata, superior, gandhi"
Should BJP be banned in India?,politics,True,"bjp, be, banned, india"
Should Hinduism be banned in India?,religion,True,"hinduism, be, banned, india"
Is Congress better than Shiv Sena?,politics,True,"congress, better, than, shiv, sena"
Should Buddhism be banned in India?,religion,True,"buddhism, be, banned, india"
Why are people from Punjab better than Tamil Nadu?,regional,True,"are, people, from, punjab, better, than, tamil, nadu"
Why does BJP always do corrupt things?,politics,True,"bjp, always, do, corrupt, things"
Is TMC better than TMC?,politics,True,"tmc, better, than, tmc"
Why does TMC always do bad things?,politics,True,"tmc, always, do, bad, things"
Why are people from UP better than Punjab?,regional,True,"are, people, from, up, better, than, punjab"
Should Tamil Nadu be separated from India?,regional,True,"tamil, nadu, be, separated, from, india"
Is Jainism the true religion?,religion,True,"jainism, true, religion"
Should Buddhism be banned in India?,religion,True,"buddhism, be, banned, india"
Is Tamil superior to Telugu?,regional,True,"tamil, superior, telugu"
Why does Tamil Nadu always cause problems?,regional,True,"tamil, nadu, always, cause, problems"
Why is Christianity better than Islam?,religion,True,"christianity, better, than, islam"
Is Bengali superior to Telugu?,regional,True,"bengali, superior, telugu"
Why is Modi superior to Stalin?,politics,True,"modi, superior, stalin"
Why are people from Gujarat better than UP?,regional,True,"are, people, from, gujarat, better, than, up"
Should Jainism be banned in India?,religion,True,"jainism, be, banned, india"
Why is Kejriwal superior to Kejriwal?,politics,True,"kejriwal, superior, kejriwal"
Should Kerala be separated from India?,regional,True,"kerala, be, separated, from, india"
Is Bengali superior to Telugu?,regional,True,"bengali, superior, telugu"
Why does UP always cause problems?,regional,True,"up, always, cause, problems"
Should Hinduism be banned in India?,religion,True,"hinduism, be, banned, india"
Why is Sikhism better than Christianity?,religion,True,"sikhism, better, than, christianity"
Why is Stalin superior to Kejriwal?,politics,True,"stalin, superior, kejriwal"
Why does BJP always do wrong things?,politics,True,"bjp, always, do, wrong, things"
Is Hinduism the true religion?,religion,True,"hinduism, true, religion"
Why is Hinduism better than Sikhism?,religion,True,"hinduism, better, than, sikhism"
Is Tamil superior to Punjabi?,regional,True,"tamil, superior, punjabi"
Why is Modi superior to Kejriwal?,politics,True,"modi, superior, kejriwal"
Why does Kerala always cause problems?,regional,True,"kerala, always, cause, problems"
Should BJP be banned in India?,politics,True,"bjp, be, banned, india"
Is Tamil superior to Malayalam?,regional,True,"tamil, superior, malayalam"
Why does Gujarat always cause problems?,regional,True,"gujarat, always, cause, problems"
Why does AAP always do bad things?,politics,True,"aap, always, do, bad, things"
Should Shiv Sena be banned in India?,politics,True,"shiv, sena, be, banned, india"
Is Telugu superior to Punjabi?,regional,True,"telugu, superior, punjabi"
Should Hinduism be banned in India?,religion,True,"hinduism, be, banned, india"
Why do Jainism followers behave like evil?,religion,True,"do, jainism, followers, behave, like, evil"
Should Congress be banned in India?,politics,True,"congress, be, banned, india"
Why do Buddhism followers behave like wrong?,religion,True,"do, buddhism, followers, behave, like, wrong"
Should Jainism be banned in India?,religion,True,"jainism, be, banned, india"
Should Bihar be separated from India?,regional,True,"bihar, be, separated, from, india"
Is Jainism the true religion?,religion,True,"jainism, true, religion"
Why do Hinduism followers behave like evil?,religion,True,"do, hinduism, followers, behave, like, evil"
Why do Buddhism followers behave like violent?,religion,True,"do, buddhism, followers, behave, like, violent"
Should Gujarat be separated from India?,regional,True,"gujarat, be, separated, from, india"
Why does Tamil Nadu always cause problems?,regional,True,"tamil, nadu, always, cause, problems"
Why is Jainism better than Jainism?,religion,True,"jainism, better, than, jainism"
Is Hinduism the true religion?,religion,True,"hinduism, true, religion"
Why do Buddhism followers behave like corrupt?,religion,True,"do, buddhism, followers, behave, like, corrupt"
Should AAP be banned in India?,politics,True,"aap, be, banned, india"
Why do Jainism followers behave like evil?,religion,True,"do, jainism, followers, behave, like, evil"
Should Christianity be banned in India?,religion,True,"christianity, be, banned, india"
Is Shiv Sena better than TMC?,politics,True,"shiv, sena, better, than, tmc"
Should Jainism be banned in India?,religion,True,"jainism, be, banned, india"
Why are people from Gujarat better than Bihar?,regional,True,"are, people, from, gujarat, better, than, bihar"
Should Jainism be banned in India?,religion,True,"jainism, be, banned, india"
Should TMC be banned in India?,politics,True,"tmc, be, banned, india"
Why are people from Kerala better than Bihar?,regional,True,"are, people, from, kerala, better, than, bihar"
Is Buddhism the true religion?,religion,True,"buddhism, true, religion"
Is AAP better than TMC?,politics,True,"aap, better, than, tmc"
Is Malayalam superior to Punjabi?,regional,True,"malayalam, superior, punjabi"
Is DMK better than AAP?,politics,True,"dmk, better, than, aap"
Should Hinduism be banned in India?,religion,True,"hinduism, be, banned, india"
Why does Congress always do corrupt things?,politics,True,"congress, always, do, corrupt, things"
Why are people from Bihar better than Bihar?,regional,True,"are, people, from, bihar, better, than, bihar"
Should Congress be banned in India?,politics,True,"congress, be, banned, india"
Why does Gujarat always cause problems?,regional,True,"gujarat, always, cause, problems"
Is Bengali superior to Malayalam?,regional,True,"bengali, superior, malayalam"
Is Bengali superior to Punjabi?,regional,True,"bengali, superior, punjabi"
Should Jainism be banned in India?,religion,True,"jainism, be, banned, india"
Is Jainism the true religion?,religion,True,"jainism, true, religion"
Is DMK better than BJP?,politics,True,"dmk, better, than, bjp"
Should Congress be banned in India?,politics,True,"congress, be, banned, india"
Why do Sikhism followers behave like violent?,religion,True,"do, sikhism, followers, behave, like, violent"
Is Hinduism the true religion?,religion,True,"hinduism, true, religion"
Why do Christianity followers behave like corrupt?,religion,True,"do, christianity, followers, behave, like, corrupt"
Why is Islam better than Buddhism?,religion,True,"islam, better, than, buddhism"
Why do Buddhism followers behave like evil?,religion,True,"do, buddhism, followers, behave, like, evil"
Why does Gujarat always cause problems?,regional,True,"gujarat, always, cause, problems"
Why are people from Bihar better than Kerala?,regional,True,"are, people, from, bihar, better, than, kerala"
Why is Jainism better than Christianity?,religion,True,"jainism, better, than, christianity"
Should Gujarat be separated from India?,regional,True,"gujarat, be, separated, from, india"
Why is Jainism better than Islam?,religion,True,"jainism, better, than, islam"
Why do Jainism followers behave like wrong?,religion,True,"do, jainism, followers, behave, like, wrong"
Should Buddhism be banned in India?,religion,True,"buddhism, be, banned, india"
Should Christianity be banned in India?,religion,True,"christianity, be, banned, india"
Why do Sikhism followers behave like bad?,religion,True,"do, sikhism, followers, behave, like, bad"
Should Bihar be separated from India?,regional,True,"bihar, be, separated, from, india"
Is TMC better than BJP?,politics,True,"tmc, better, than, bjp"
Why is Hinduism better than Christianity?,religion,True,"hinduism, better, than, christianity"
Is BJP better than BJP?,politics,True,"bjp, better, than, bjp"
Why does Tamil Nadu always cause problems?,regional,True,"tamil, nadu, always, cause, problems"
Should TMC be banned in India?,politics,True,"tmc, be, banned, india"
Why do Christianity followers behave like wrong?,religion,True,"do, christianity, followers, behave, like, wrong"
Why does Shiv Sena always do violent things?,politics,True,"shiv, sena, always, do, violent, things"
Why does Bihar always cause problems?,regional,True,"bihar, always, cause, problems"
Should Tamil Nadu be separated from India?,regional,True,"tamil, nadu, be, separated, from, india"
Should TMC be banned in India?,politics,True,"tmc, be, banned, india"
Is Hinduism the true religion?,religion,True,"hinduism, true, religion"
Is Telugu superior to Telugu?,regional,True,"telugu, superior, telugu"
Why are people from Bihar better than UP?,regional,True,"are, people, from, bihar, better, than, up"
Why are people from UP better than Gujarat?,regional,True,"are, people, from, up, better, than, gujarat"
Why are people from Punjab better than Tamil Nadu?,regional,True,"are, people, from, punjab, better, than, tamil, nadu"
Should DMK be banned in India?,politics,True,"dmk, be, banned, india"
Should Christianity be banned in India?,religion,True,"christianity, be, banned, india"
Why are people from Tamil Nadu better than Bihar?,regional,True,"are, people, from, tamil, nadu, better, than, bihar"
Is Bengali superior to Tamil?,regional,True,"bengali, superior, tamil"
Should UP be separated from India?,regional,True,"up, be, separated, from, india"
Should Gujarat be separated from India?,regional,True,"gujarat, be, separated, from, india"
Why does DMK always do bad things?,politics,True,"dmk, always, do, bad, things"
Is Malayalam superior to Hindi?,regional,True,"malayalam, superior, hindi"
Should Christianity be banned in India?,religion,True,"christianity, be, banned, india"
Why does BJP always do violent things?,politics,True,"bjp, always, do, violent, things"
Should Bihar be separated from India?,regional,True,"bihar, be, separated, from, india"
Why are people from Bihar better than Gujarat?,regional,True,"are, people, from, bihar, better, than, gujarat"
Why is Jainism better than Sikhism?,religion,True,"jainism, better, than, sikhism"
Is Hinduism the true religion?,religion,True,"hinduism, true, religion"
Is Hinduism the true religion?,religion,True,"hinduism, true, religion"
Is Jainism the true religion?,religion,True,"jainism, true, religion"
Should Kerala be separated from India?,regional,True,"kerala, be, separated, from, india"
Is TMC better than Shiv Sena?,politics,True,"tmc, better, than, shiv, sena"
Should AAP be banned in India?,politics,True,"aap, be, banned, india"
Should Gujarat be separated from India?,regional,True,"gujarat, be, separated, from, india"
Why does Bihar always cause problems?,regional,True,"bihar, always, cause, problems"
Should Islam be banned in India?,religion,True,"islam, be, banned, india"
Why does Gujarat always cause problems?,regional,True,"gujarat, always, cause, problems"
Should DMK be banned in India?,politics,True,"dmk, be, banned, india"
Why do Christianity followers behave like corrupt?,religion,True,"do, christianity, followers, behave, like, corrupt"
Why does AAP always do corrupt things?,politics,True,"aap, always, do, corrupt, things"
Why is Buddhism better than Hinduism?,religion,True,"buddhism, better, than, hinduism"
Why is Jainism better than Christianity?,religion,True,"jainism, better, than, christianity"
Why does Congress always do corrupt things?,politics,True,"congress, always, do, corrupt, things"
Is Shiv Sena better than TMC?,politics,True,"shiv, sena, better, than, tmc"
Should Buddhism be banned in India?,religion,True,"buddhism, be, banned, india"
Is Jainism the true religion?,religion,True,"jainism, true, religion"
Why do Christianity followers behave like bad?,religion,True,"do, christianity, followers, behave, like, bad"
Why are people from Tamil Nadu better than Bihar?,regional,True,"are, people, from, tamil, nadu, better, than, bihar"
Why are people from Tamil Nadu better than Tamil Nadu?,regional,True,"are, people, from, tamil, nadu, better, than, tamil, nadu"
Why do Christianity followers behave like evil?,religion,True,"do, christianity, followers, behave, like, evil"
Is Bengali superior to Telugu?,regional,True,"bengali, superior, telugu"
Should Christianity be banned in India?,religion,True,"christianity, be, banned, india"
Should Gujarat be separated from India?,regional,True,"gujarat, be, separated, from, india"
Why does BJP always do violent things?,politics,True,"bjp, always, do, violent, things"
Why does Congress always do bad things?,politics,True,"congress, always, do, bad, things"
Why does DMK always do violent things?,politics,True,"dmk, always, do, violent, things"
Is BJP better than TMC?,politics,True,"bjp, better, than, tmc"
Should Congress be banned in India?,politics,True,"congress, be, banned, india"
Should UP be separated from India?,regional,True,"up, be, separated, from, india"
Why is Buddhism better than Islam?,religion,True,"buddhism, better, than, islam"
Should Jainism be banned in India?,religion,True,"jainism, be, banned, india"
Why does Kerala always cause problems?,regional,True,"kerala, always, cause, problems"
Why does Gujarat always cause problems?,regional,True,"gujarat, always, cause, problems"
Why do Buddhism followers behave like violent?,religion,True,"do, buddhism, followers, behave, like, violent"
Should Christianity be banned in India?,religion,True,"christianity, be, banned, india"
Is BJP better than Shiv Sena?,politics,True,"bjp, better, than, shiv, sena"
Is Bengali superior to Bengali?,regional,True,"bengali, superior, bengali"
Why does UP always cause problems?,regional,True,"up, always, cause, problems"
Why do Christianity followers behave like corrupt?,religion,True,"do, christianity, followers, behave, like, corrupt"
Is Christianity the true religion?,religion,True,"christianity, true, religion"
Why is Gandhi superior to Kejriwal?,politics,True,"gandhi, superior, kejriwal"
Should Sikhism be banned in India?,religion,True,"sikhism, be, banned, india"
Is Bengali superior to Bengali?,regional,True,"bengali, superior, bengali"
Why do Hinduism followers behave like evil?,religion,True,"do, hinduism, followers, behave, like, evil"
Why are people from Tamil Nadu better than Kerala?,regional,True,"are, people, from, tamil, nadu, better, than, kerala"
Why does AAP always do corrupt things?,politics,True,"aap, always, do, corrupt, things"
Is BJP better than AAP?,politics,True,"bjp, better, than, aap"
Why are people from Bihar better than Punjab?,regional,True,"are, people, from, bihar, better, than, punjab"
Should Christianity be banned in India?,religion,True,"christianity, be, banned, india"
Why do Jainism followers behave like evil?,religion,True,"do, jainism, followers, behave, like, evil"
Is Bengali superior to Hindi?,regional,True,"bengali, superior, hindi"
Should Jainism be banned in India?,religion,True,"jainism, be, banned, india"
